"Region";"Type";"Date";"Variable";"Value"
"02 Akershus";"02 Brukte eneboliger";2002;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";90,8
"02 Akershus";"02 Brukte eneboliger";2003;"Kvadratmeterpris (kr)";14679
"02 Akershus";"02 Brukte eneboliger";2003;"Endring i prosent fra foregående år";-1
"02 Akershus";"02 Brukte eneboliger";2003;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";81,5
"02 Akershus";"02 Brukte eneboliger";2004;"Kvadratmeterpris (kr)";15815
"02 Akershus";"02 Brukte eneboliger";2004;"Endring i prosent fra foregående år";7,7
"02 Akershus";"02 Brukte eneboliger";2004;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";84
"02 Akershus";"02 Brukte eneboliger";2005;"Kvadratmeterpris (kr)";16735
"02 Akershus";"02 Brukte eneboliger";2005;"Endring i prosent fra foregående år";5,8
"02 Akershus";"02 Brukte eneboliger";2005;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";84
"02 Akershus";"02 Brukte eneboliger";2006;"Kvadratmeterpris (kr)";18868
"02 Akershus";"02 Brukte eneboliger";2006;"Endring i prosent fra foregående år";12,7
"02 Akershus";"02 Brukte eneboliger";2006;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";94,7
"02 Akershus";"02 Brukte eneboliger";2007;"Kvadratmeterpris (kr)";21278
"02 Akershus";"02 Brukte eneboliger";2007;"Endring i prosent fra foregående år";12,8
"02 Akershus";"02 Brukte eneboliger";2007;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";91,6
"02 Akershus";"02 Brukte eneboliger";2008;"Kvadratmeterpris (kr)";21067
"02 Akershus";"02 Brukte eneboliger";2008;"Endring i prosent fra foregående år";-1
"02 Akershus";"02 Brukte eneboliger";2008;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";81
"02 Akershus";"02 Brukte eneboliger";2009;"Kvadratmeterpris (kr)";21503
"02 Akershus";"02 Brukte eneboliger";2009;"Endring i prosent fra foregående år";2,1
"02 Akershus";"02 Brukte eneboliger";2009;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";81,7
"02 Akershus";"02 Brukte eneboliger";2010;"Kvadratmeterpris (kr)";22692
"02 Akershus";"02 Brukte eneboliger";2010;"Endring i prosent fra foregående år";5,7
"02 Akershus";"02 Brukte eneboliger";2010;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";79,6
"02 Akershus";"02 Brukte eneboliger";2011;"Kvadratmeterpris (kr)";24244
"02 Akershus";"02 Brukte eneboliger";2011;"Endring i prosent fra foregående år";6,8
"02 Akershus";"02 Brukte eneboliger";2011;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";81,5
"02 Akershus";"02 Brukte eneboliger";2012;"Kvadratmeterpris (kr)";25557
"02 Akershus";"02 Brukte eneboliger";2012;"Endring i prosent fra foregående år";5,4
"02 Akershus";"02 Brukte eneboliger";2012;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";79,2
"02 Akershus";"02 Brukte eneboliger";2013;"Kvadratmeterpris (kr)";26786
"02 Akershus";"02 Brukte eneboliger";2013;"Endring i prosent fra foregående år";4,8
"02 Akershus";"02 Brukte eneboliger";2013;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";77,2
"02 Akershus";"02 Brukte eneboliger";2014;"Kvadratmeterpris (kr)";27509
"02 Akershus";"02 Brukte eneboliger";2014;"Endring i prosent fra foregående år";2,7
"02 Akershus";"02 Brukte eneboliger";2014;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";74,1
"02 Akershus";"02 Brukte eneboliger";2015;"Kvadratmeterpris (kr)";29519
"02 Akershus";"02 Brukte eneboliger";2015;"Endring i prosent fra foregående år";7,3
"02 Akershus";"02 Brukte eneboliger";2015;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";75,8
"03 Oslo";"01 Nye eneboliger";1999;"Kvadratmeterpris (kr)";11905
"03 Oslo";"01 Nye eneboliger";1999;"Endring i prosent fra foregående år";0
"03 Oslo";"01 Nye eneboliger";1999;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";89
"03 Oslo";"01 Nye eneboliger";2000;"Kvadratmeterpris (kr)";14598
"03 Oslo";"01 Nye eneboliger";2000;"Endring i prosent fra foregående år";22,6
"03 Oslo";"01 Nye eneboliger";2000;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";93,3
"03 Oslo";"01 Nye eneboliger";2001;"Kvadratmeterpris (kr)";15800
"03 Oslo";"01 Nye eneboliger";2001;"Endring i prosent fra foregående år";0
"03 Oslo";"01 Nye eneboliger";2001;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";87,1
"03 Oslo";"01 Nye eneboliger";2002;"Kvadratmeterpris (kr)";19313
"03 Oslo";"01 Nye eneboliger";2002;"Endring i prosent fra foregående år";22,2
"03 Oslo";"01 Nye eneboliger";2002;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";93,3
"03 Oslo";"01 Nye eneboliger";2003;"Kvadratmeterpris (kr)";18629
"03 Oslo";"01 Nye eneboliger";2003;"Endring i prosent fra foregående år";-3,5
"03 Oslo";"01 Nye eneboliger";2003;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";92,1
"03 Oslo";"01 Nye eneboliger";2004;"Kvadratmeterpris (kr)";20831
"03 Oslo";"01 Nye eneboliger";2004;"Endring i prosent fra foregående år";11,8
"03 Oslo";"01 Nye eneboliger";2004;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";95
